Medu,Fedu,studytime,G1,G2,G3,promedio,conclusion
4,4,2,0,11,11,7.333333333333333,0
1,1,2,9,11,11,10.333333333333334,1
1,1,2,12,13,12,12.333333333333334,1
4,2,3,14,14,14,14.0,2
3,3,2,11,13,13,12.333333333333334,1
4,3,2,12,12,13,12.333333333333334,1
2,2,2,13,12,13,12.666666666666666,1
4,4,2,10,13,13,12.0,1
3,2,2,15,16,17,16.0,2
3,4,2,12,12,13,12.333333333333334,1
4,4,2,14,14,14,14.0,2
2,1,3,10,12,13,11.666666666666666,1
4,4,1,12,13,12,12.333333333333334,1
4,3,2,12,12,13,12.333333333333334,1
2,2,3,14,14,15,14.333333333333334,2
4,4,1,17,17,17,17.0,2
4,4,3,13,13,14,13.333333333333334,2
3,3,2,13,14,14,13.666666666666666,2
3,2,1,8,8,7,7.666666666666667,0
4,3,1,12,12,12,12.0,1
4,3,2,12,13,14,13.0,1
4,4,1,11,12,12,11.666666666666666,1
4,2,2,12,13,14,13.0,1
2,2,2,10,10,10,10.0,1
2,4,3,10,11,10,10.333333333333334,1
2,2,1,10,11,12,11.0,1
2,2,1,11,12,12,11.666666666666666,1
4,2,1,11,11,11,11.0,1
3,4,2,12,12,13,12.333333333333334,1
4,4,2,12,11,12,11.666666666666666,1
4,4,2,10,11,11,10.666666666666666,1
4,4,2,15,15,15,15.0,2
4,3,2,13,14,15,14.0,2
3,3,2,13,12,12,12.333333333333334,1
3,2,1,12,12,12,12.0,1
2,3,1,11,11,11,11.0,1
4,3,3,14,14,14,14.0,2
4,4,3,13,13,13,13.0,1
3,4,3,11,12,12,11.666666666666666,1
2,2,1,14,13,12,13.0,1
2,2,2,11,11,10,10.666666666666666,1
4,4,1,10,11,11,10.666666666666666,1
4,4,2,14,15,15,14.666666666666666,2
2,2,1,9,10,10,9.666666666666666,0
2,2,2,10,11,11,10.666666666666666,1
4,3,2,10,11,11,10.666666666666666,1
3,3,2,13,12,13,12.666666666666666,1
4,3,4,17,17,17,17.0,2
4,2,2,11,12,13,12.0,1
4,4,2,13,12,12,12.333333333333334,1
2,2,2,14,13,13,13.333333333333334,2
4,2,2,16,14,16,15.333333333333334,2
4,2,1,10,9,9,9.333333333333334,0
4,4,1,13,12,12,12.333333333333334,1
3,3,1,13,12,13,12.666666666666666,1
2,1,2,12,13,12,12.333333333333334,1
4,3,2,15,14,15,14.666666666666666,2
4,4,2,15,15,16,15.333333333333334,2
1,2,2,14,13,14,13.666666666666666,2
4,2,2,16,15,16,15.666666666666666,2
4,4,2,17,16,16,16.333333333333332,2
1,1,1,10,10,16,12.0,1
1,2,2,13,13,10,12.0,1
4,3,3,14,13,13,13.333333333333334,2
4,3,2,13,12,12,12.333333333333334,1
4,3,2,16,15,16,15.666666666666666,2
4,4,4,11,12,12,11.666666666666666,1
3,1,4,10,9,10,9.666666666666666,0
2,2,2,11,10,11,10.666666666666666,1
3,1,4,15,15,15,15.0,2
3,1,4,13,11,11,11.666666666666666,1
4,2,4,11,9,10,10.0,1
1,1,2,13,11,11,11.666666666666666,1
3,1,1,13,13,14,13.333333333333334,2
3,3,2,11,11,11,11.0,1
4,3,2,11,11,11,11.0,1
4,0,4,12,11,11,11.333333333333334,1
2,2,4,13,13,13,13.0,1
2,1,1,9,9,10,9.333333333333334,0
3,4,2,12,11,11,11.333333333333334,1
2,3,1,11,11,12,11.333333333333334,1
2,3,3,10,9,9,9.333333333333334,0
3,2,2,12,11,11,11.333333333333334,1
2,2,2,13,12,13,12.666666666666666,1
1,1,2,13,12,12,12.333333333333334,1
4,4,2,12,11,12,11.666666666666666,1
2,2,2,13,11,11,11.666666666666666,1
4,2,3,15,15,15,15.0,2
2,2,2,12,10,11,11.0,1
4,4,2,9,9,10,9.333333333333334,0
3,3,3,9,11,11,10.333333333333334,1
4,3,1,14,13,13,13.333333333333334,2
3,1,2,12,13,12,12.333333333333334,1
4,2,2,13,14,14,13.666666666666666,2
2,2,4,11,12,12,11.666666666666666,1
